name,Parent Language,Language Paradigms,Introduced
C++,C,Object-oriented programming,1983
,,Generic programming,
,,Multi-paradigm programming language,
,,Procedural programming,
C,,Procedural programming,1972
,,Imperative programming,
,,Structured programming,
Forth,,Stack-oriented programming language,1970
,,Concatenative programming language,
APL,,Mathematics,1964
,,Combinatory logic,
,,Array programming,
,,Functional programming,
,,Operator,
,,Structured programming,
CLU,,Object-oriented programming,1974
,,Procedural programming,
,,Multi-paradigm programming language,
ALGOL,,Imperative programming,1958
,,Procedural programming,
,,Structured programming,
Simula,,Object-oriented programming,1967
Smalltalk,,Object-oriented programming,
Objective-C,C,Object-oriented programming,1986
Eiffel,,Design by contract,1986
,,Object-oriented programming,
PHP,,Interpreted language,1995
,,Object-oriented programming,
J#,,Object-oriented programming,2002
C#,,Component-oriented programming,2001
,,Imperative programming,
,,Object-oriented programming,
,,Structured programming,
,,Functional programming,
,,Multi-paradigm programming language,
ALGOL 68,ALGOL,Imperative programming,
,,Multi-paradigm programming language,
,,Parallel computing,
ALGOL 60,ALGOL,,
ALGOL 58,ALGOL,Procedural programming,1958
,,Structured programming,
,,Imperative programming,
ALGOL W,ALGOL,,
Elliott ALGOL,ALGOL,,
Dartmouth ALGOL 30,ALGOL,,
Pascal,,Imperative programming,1970
,,Structured programming,
Oberon,,Object-oriented programming,1986
,,Reflective programming,
Modula-2,,Imperative programming,1978
,,Structured programming,
,,Modular Programming,
Modula,,Modular Programming,
Object Pascal,,Object-oriented programming,
,,Structured programming,
,,Imperative programming,
,,Functional programming,
Oxygene,Object Pascal,Object-oriented programming,
UCSD Pascal,Pascal,,
Turbo Pascal,Pascal,Object-oriented programming,
,Object Pascal,,
Mesa,,Modular Programming,
Zonnon,,Concurrent computing,
Ada,,Multi-paradigm programming language,1983
Objective Modula-2,,,
Modula-3,,Object-oriented programming,
,,Structured programming,
,,Imperative programming,
ISO,Modula-2,,
PIM4,Modula-2,,
PIM3,Modula-2,,
PIM2,Modula-2,,
Cedar,,,
*Lisp,Common Lisp,Parallel computing,1986
,Lisp,,
Lisp,Lambda calculus,Functional programming,1958
,,Object-oriented programming,
,,Procedural programming,
,,Interpreted language,
,,Mathematics,
Common Lisp,Lisp,Multi-paradigm programming language,
,,Procedural programming,
,,Object-oriented programming,
,,Functional programming,
Scheme,Lisp,Functional programming,1975
,,Interpreted language,
,,Multi-paradigm programming language,
,,Procedural programming,
Emacs Lisp,Lisp,Functional programming,
Dylan,,Object-oriented programming,
,,Reflective programming,
,,Dynamic programming language,
,,Functional programming,
,,Multi-paradigm programming language,
CLOS,,Object-oriented programming,
Logo,Lisp,Functional programming,1967
,,Educational programming language,
,,Procedural programming,
,,Multi-paradigm programming language,
Fortran,,Procedural programming,1957-04
,,Imperative programming,
,,Object-oriented programming,
,,Structured programming,
PL/I,,Structured programming,1964
,,Imperative programming,
FORTRAN II,Fortran,,
FORTRAN III,Fortran,,
FORTRAN IV,Fortran,,
FORTRAN 66,Fortran,,
FORTRAN 77,Fortran,,
FORTRAN 90,Fortran,,
FORTRAN 95,Fortran,,
Fortran 2003,Fortran,,
Fortran 2008,Fortran,,
PL/M,PL/I,,
EPL,PL/I,,
XPL,PL/I,,
PL/S,PL/I,,
PL/C,PL/I,,
PL/P,PL/I,,
PL/8,PL/I,,
COBOL,,Object-oriented programming,1959
,,Procedural programming,
FP,,Function-level programming,1977
FL,,Functional programming,1989
,,Function-level programming,
Ruby,,Interpreted language,1995
,,Dynamic programming language,
,,Object-oriented programming,
,,Reflective programming,
,,Multi-paradigm programming language,
Perl,,Procedural programming,1987
,,Object-oriented programming,
,,Dynamic programming language,
,,Multi-paradigm programming language,
,,Imperative programming,
Groovy,Java,Dynamic programming language,2003
,,Object-oriented programming,
T,Scheme,Functional programming,
,,Object-oriented programming,
,,Imperative programming,
,,Multi-paradigm programming language,
COBOL 2002,COBOL,,
COBOL-85,COBOL,,
COBOL-74,COBOL,,
COBOL-68,COBOL,,
FLOW-MATIC,,,1955
COMTRAN,,,1957
Prolog,,Logic programming,1972
,,Declarative programming,
Visual Prolog,Prolog,Object-oriented programming,
Erlang,,Functional programming,1987
,,Concurrent computing,
,,Actor model,
,,Multi-paradigm programming language,
Mercury,,Functional programming,1995-04-08
,,Logic programming,
Oz,,Multi-paradigm programming language,1991
,,Functional programming,
,,Logic programming,
,,Object-oriented programming,
,,Imperative programming,
,,Parallel computing,
Python,ABC,Object-oriented programming,1991
,,Interpreted language,
,,Imperative programming,
,,Functional programming,
,,Multi-paradigm programming language,
Tcl,,Functional programming,1988
,,Object-oriented programming,
,,Procedural programming,
,,Multi-paradigm programming language,
Icon,SNOBOL,Structured programming,1977
,,Multi-paradigm programming language,
Haskell,,Functional programming,1990
,,Declarative programming,
,,Lazy evaluation,
,,Compiled language,
,,Interpreted language,
,,Combinatory logic,
ABC,,Procedural programming,
,,Structured programming,
,,Imperative programming,
,,Multi-paradigm programming language,
Boo,,,2003
Smalltalk-80,Smalltalk,,
Smalltalk-72,Smalltalk,,
Smalltalk-71,Smalltalk,,
Smalltalk-76,Smalltalk,,
Caml,,Functional programming,1985
,,Object-oriented programming,
,,Imperative programming,
,,Multi-paradigm programming language,
ML,,Functional programming,1973
,,Imperative programming,
,,Multi-paradigm programming language,
,,Type inference,
SKED,,,
JavaScript,ECMAScript,Ajax,1995
,,Imperative programming,
,,Object-oriented programming,
,,Prototype-based programming,
,,Functional programming,
,,Multi-paradigm programming language,
mjt,,,
Forth-79,Forth,,
Forth-83,Forth,,
Kid,,,
BASIC,ThinBasic,Procedural programming,1964
,,Structured programming,
Maclisp,,,
Interlisp,,,
PostScript,,Stack-oriented programming language,1982
,,Concatenative programming language,
,,Procedural programming,
,,Multi-paradigm programming language,
D,,Object-oriented programming,1999
,,Imperative programming,
,,Multi-paradigm programming language,
SQL,,Multi-paradigm programming language,1974
,,Database programming,
Microsoft SQL Server,SQL,T-SQL,
Interlisp,Lisp,,
Pike,LPC,Dynamic programming language,
,,Object-oriented programming,
,,Interpreted language,
LPC,,Prototype-based programming,
REXX,,Object-oriented programming,1979
,,Procedural programming,
,,Structured programming,
,,Multi-paradigm programming language,
AWK,,Procedural programming,1977
Sed,,,
C*,,,
Self,,Prototype-based programming,1986
,,Object-oriented programming,
NewtonScript,Self,Prototype-based programming,1993
SCUMM,,,
Atari ST BASIC,BASIC,,
Visual Basic,,Object-oriented programming,
BBC BASIC,,Procedural programming,1981
AppleScript,,,
GeneXus,,Declarative programming,
,,Knowledge-based systems,
Squeak,Smalltalk,Object-oriented programming,1996
Maclisp,Lisp,,
MUMPS,,Procedural programming,1966
,,Parallel computing,
,,Imperative programming,
,,Reflective programming,
,,Database programming,
CycL,,Knowledge-based systems,
SubL,Common Lisp,,
Objective Caml,Caml,Object-oriented programming,
,ML,Functional programming,
,,Interpreted language,
,,Imperative programming,
,,Multi-paradigm programming language,
,,Type inference,
Standard ML of New Jersey,Standard ML,Functional programming,
Standard ML,ML,Functional programming,
,,Imperative programming,
,,Multi-paradigm programming language,
VBScript,,Interpreted language,1996
Linden Scripting Language,,,
Lua,,Imperative programming,1993
,,Functional programming,
,,Multi-paradigm programming language,
,,Object-oriented programming,
,,Prototype-based programming,
ECMAScript,JavaScript,Imperative programming,1997
,,Object-oriented programming,
,,Functional programming,
,,Prototype-based programming,
,,Multi-paradigm programming language,
ActionScript,ECMAScript,Object-oriented programming,1998
,,Multi-paradigm programming language,
,,Functional programming,
,,Prototype-based programming,
,,Imperative programming,
JScript,ECMAScript,,1996
,JavaScript,,
JScript .NET,ECMAScript,Multi-paradigm programming language,
,JavaScript,,
QtScript,ECMAScript,,
